Numero de Orden
['CA-2016-168004' 'CA-2016-109736' 'CA-2017-123540' 'CA-2015-144071']
"['CA-2018-153339' 'CA-2015-111500' 'CA-2017-128594' 'CA-2018-156895'
 'CA-2018-108749' 'CA-2018-137876' 'US-2018-132220' 'US-2018-118535']"
['CA-2017-164511' 'CA-2018-115602' 'CA-2016-123232']
"['US-2016-164448' 'CA-2018-139199' 'CA-2018-149489' 'CA-2018-167094'
 'US-2017-161844' 'CA-2016-147529' 'CA-2017-160941' 'US-2015-143721'
 'CA-2018-168403' 'CA-2017-120082' 'CA-2015-141838' 'CA-2018-104388']"
"['CA-2016-105627' 'CA-2018-108112' 'CA-2018-133501' 'CA-2016-139738'
 'CA-2018-152310']"
"['CA-2016-134894' 'CA-2015-163034' 'US-2018-141943' 'CA-2018-140627'
 'CA-2016-112767']"
"['CA-2016-110457' 'CA-2016-129098' 'CA-2018-117807' 'CA-2018-104913'
 'CA-2017-134334' 'CA-2018-100622' 'CA-2018-124940']"
['CA-2015-166191' 'CA-2018-102197']
"['CA-2016-122756' 'CA-2016-113173' 'CA-2018-100650' 'CA-2015-157623'
 'CA-2017-155481' 'CA-2018-105480' 'CA-2017-130288' 'CA-2017-127138'
 'CA-2017-168543']"
"['CA-2016-131884' 'CA-2016-145065' 'CA-2015-100006' 'US-2017-111290'
 'US-2017-139087' 'CA-2018-165099' 'CA-2018-133046' 'CA-2018-166835']"
"['CA-2015-165974' 'CA-2017-102456' 'CA-2018-154718' 'CA-2016-156524'
 'CA-2015-143182' 'CA-2017-154060' 'US-2018-146878']"
"['CA-2016-112571' 'CA-2018-121615' 'CA-2016-134747' 'CA-2016-136798'
 'US-2015-137155' 'US-2015-115196']"
"['CA-2017-146941' 'CA-2015-115791' 'CA-2018-145226' 'US-2018-114034'
 'CA-2017-149783' 'CA-2018-155159' 'CA-2015-108182' 'CA-2015-154165']"
['CA-2018-143329' 'US-2015-130358' 'CA-2017-125815' 'CA-2016-109337']
"['CA-2017-144855' 'CA-2018-151911' 'CA-2017-106558' 'US-2018-117723'
 'CA-2016-153717' 'CA-2017-127649' 'CA-2018-144750' 'CA-2018-142643']"
"['CA-2016-168480' 'CA-2016-168767' 'CA-2017-163153' 'CA-2015-101175'
 'CA-2015-141649' 'CA-2017-106621' 'CA-2018-128769']"
"['CA-2017-160500' 'US-2018-105389' 'CA-2017-136231' 'CA-2016-129392'
 'CA-2018-110429' 'CA-2015-160766' 'CA-2018-139717']"
"['CA-2018-157854' 'CA-2017-144554' 'CA-2017-114482' 'CA-2015-164910'
 'CA-2018-108854' 'CA-2016-142734' 'CA-2015-119529' 'CA-2017-129861']"
['CA-2017-149195' 'CA-2015-103317' 'CA-2016-132465']
"['CA-2015-139451' 'CA-2017-114951' 'CA-2015-166744' 'CA-2017-151498'
 'CA-2015-119977' 'CA-2017-114860' 'CA-2018-136882']"
"['US-2016-168935' 'CA-2018-102771' 'CA-2018-140760' 'CA-2017-133144'
 'CA-2016-121272' 'CA-2015-108903' 'CA-2018-100636' 'CA-2016-169299'
 'US-2018-100398']"
"['CA-2018-133207' 'CA-2018-115777' 'US-2018-117450' 'CA-2016-126669'
 'CA-2018-165008' 'CA-2018-118003' 'CA-2018-102309']"
"['CA-2016-115742' 'CA-2016-105347' 'CA-2017-141180' 'CA-2018-142174'
 'US-2018-154872' 'CA-2015-103800' 'CA-2018-157350' 'CA-2017-166618']"
"['CA-2017-152534' 'CA-2016-132080' 'CA-2018-102974' 'CA-2017-162390'
 'CA-2018-163671' 'CA-2017-159009' 'CA-2018-155362' 'CA-2018-141663']"
['CA-2015-112158' 'CA-2016-112522']
"['CA-2016-118423' 'CA-2015-168592' 'CA-2015-107139' 'CA-2018-150931'
 'CA-2015-134621' 'CA-2018-154466' 'CA-2017-138478' 'CA-2016-129217'
 'CA-2017-138583']"
"['US-2016-159982' 'CA-2017-117282' 'CA-2018-134404' 'US-2017-164189'
 'CA-2018-161956' 'US-2017-127425' 'CA-2018-148810' 'CA-2016-103933'
 'CA-2018-143574']"
"['CA-2016-104626' 'US-2016-163783' 'CA-2018-142671' 'CA-2018-160899'
 'CA-2016-104871' 'US-2017-140158' 'CA-2017-160241' 'CA-2015-100881']"
['CA-2018-131954' 'US-2018-125717' 'CA-2018-144848' 'CA-2015-113271']
"['CA-2016-163055' 'CA-2018-154907' 'CA-2018-134285' 'CA-2016-159863'
 'CA-2016-130456' 'CA-2017-127243' 'CA-2017-146325' 'CA-2017-119074'
 'CA-2015-132983']"
"['CA-2017-138688' 'CA-2018-139773' 'CA-2017-106656' 'CA-2018-125745'
 'CA-2018-168389']"
"['CA-2018-145233' 'US-2018-152002' 'CA-2015-124646' 'CA-2016-146486'
 'CA-2017-126102']"
"['US-2017-127971' 'CA-2015-152849' 'CA-2018-101581' 'US-2018-103226'
 'CA-2015-123477' 'CA-2015-133158']"
"['CA-2015-131926' 'CA-2017-151141' 'CA-2017-101938' 'US-2018-132297'
 'CA-2017-164399']"
"['CA-2018-132521' 'CA-2018-101210' 'CA-2017-149902' 'CA-2017-128706'
 'CA-2018-148642']"
"['US-2018-164147' 'CA-2018-123134' 'US-2018-126060' 'CA-2017-165820'
 'CA-2015-120432' 'CA-2017-148516' 'CA-2016-162950']"
"['US-2018-155299' 'CA-2018-114552' 'CA-2015-153150' 'CA-2017-120530'
 'CA-2015-133424']"
"['CA-2015-129574' 'CA-2017-152072' 'CA-2016-139962' 'CA-2018-148404'
 'CA-2015-116834' 'CA-2018-163692' 'CA-2016-169796' 'US-2018-162558'
 'CA-2018-169691' 'US-2018-132381' 'CA-2018-139822']"
"['US-2015-156216' 'CA-2016-154921' 'CA-2017-168956' 'CA-2017-108581'
 'CA-2018-121909' 'CA-2018-154501' 'CA-2015-151162' 'CA-2016-158939'
 'CA-2017-164924' 'CA-2017-104633' 'CA-2017-102813' 'CA-2017-121447']"
"['CA-2018-147277' 'CA-2018-134978' 'US-2017-137547' 'CA-2016-104493'
 'CA-2017-128223' 'CA-2015-100090' 'CA-2016-128125' 'CA-2015-129938'
 'CA-2018-107797']"
"['CA-2017-126809' 'CA-2018-122707' 'CA-2018-161739' 'CA-2016-128083'
 'US-2017-147340' 'CA-2018-161459' 'CA-2016-166947' 'CA-2017-145548'
 'CA-2017-166380' 'CA-2017-137652']"
['CA-2018-156951' 'CA-2017-139885' 'US-2015-102631' 'CA-2015-146885']
"['CA-2016-106320' 'CA-2017-144939' 'US-2016-110569' 'CA-2016-153626'
 'CA-2018-130967' 'CA-2015-110219' 'CA-2017-159989' 'CA-2018-169817'
 'CA-2018-148999' 'US-2015-126340']"
"['CA-2017-122728' 'US-2017-116400' 'CA-2017-101448' 'US-2018-106551'
 'CA-2015-123400']"
['CA-2018-115427' 'US-2017-164630' 'US-2017-150357' 'CA-2017-135461']
"['CA-2018-149895' 'CA-2017-121370' 'CA-2017-116561' 'CA-2016-106257'
 'US-2016-153283' 'CA-2016-111612']"
"['CA-2018-162635' 'CA-2017-143441' 'CA-2016-148705' 'CA-2016-142930'
 'CA-2015-103086' 'CA-2015-111962']"
"['US-2018-140074' 'CA-2015-139633' 'US-2017-169369' 'CA-2018-161102'
 'CA-2018-163188']"
"['CA-2015-110527' 'CA-2015-110352' 'CA-2018-134838' 'CA-2018-133102'
 'CA-2017-149916' 'CA-2017-118311' 'CA-2016-137071' 'CA-2016-160227']"
"['US-2017-150861' 'CA-2018-114524' 'CA-2018-141719' 'US-2018-167570'
 'CA-2016-138625']"
"['US-2018-111423' 'US-2016-147242' 'CA-2017-155565' 'CA-2017-135776'
 'CA-2015-138450' 'CA-2017-136301' 'CA-2017-100944' 'US-2017-119046'
 'CA-2018-152499' 'CA-2017-153836']"
"['CA-2017-121755' 'US-2017-110156' 'CA-2015-107594' 'CA-2016-149384'
 'CA-2018-160458' 'CA-2016-114048' 'CA-2018-153080' 'US-2017-158288']"
"['CA-2015-103366' 'CA-2015-102295' 'CA-2017-107790' 'CA-2017-124100'
 'CA-2016-156510' 'CA-2015-138513']"
"['CA-2017-152814' 'CA-2015-140165' 'CA-2018-167381' 'CA-2018-144862'
 'CA-2018-127516' 'CA-2018-133095' 'CA-2015-154592']"
"['US-2017-156097' 'CA-2017-104969' 'CA-2018-125752' 'CA-2017-146010'
 'CA-2018-112725' 'CA-2017-136126' 'US-2016-154389' 'CA-2016-134201'
 'CA-2018-124744' 'CA-2015-100867']"
"['CA-2015-143840' 'CA-2015-105340' 'CA-2017-167115' 'CA-2018-112984'
 'CA-2015-139542' 'CA-2017-160486']"
['US-2015-117163' 'CA-2015-108273' 'CA-2018-123085' 'CA-2016-169656']
"['CA-2018-133641' 'US-2018-110989' 'CA-2018-147410' 'CA-2017-142594'
 'CA-2015-105648']"
['CA-2016-154340' 'CA-2018-108091' 'CA-2015-111871' 'CA-2016-109113']
['CA-2018-150707' 'CA-2017-113061']
"['CA-2016-142041' 'CA-2016-113404' 'CA-2018-137344' 'CA-2016-139584'
 'CA-2017-158358']"
"['CA-2018-122035' 'CA-2018-114258' 'US-2018-128398' 'CA-2017-116764'
 'CA-2017-136595' 'CA-2016-109603' 'CA-2015-103807' 'CA-2016-149748']"
"['CA-2016-119697' 'CA-2016-129042' 'CA-2018-168942' 'CA-2016-148873'
 'CA-2016-156566']"
['CA-2015-127691' 'CA-2017-155670' 'CA-2018-133620' 'CA-2018-149720']
['CA-2017-161669' 'US-2016-159499' 'CA-2018-132437' 'CA-2016-163237']
"['CA-2018-134915' 'CA-2015-168158' 'CA-2016-146255' 'CA-2017-152730'
 'CA-2017-139997' 'US-2017-131058']"
['CA-2018-162033' 'CA-2016-141754' 'CA-2018-167549']
['CA-2017-165848' 'CA-2018-160087' 'CA-2016-103177' 'CA-2017-126284']
"['US-2018-122637' 'CA-2015-134278' 'CA-2018-149888' 'US-2017-159856'
 'CA-2018-102099' 'CA-2018-157483' 'CA-2018-111815' 'CA-2017-140641'
 'CA-2016-163587' 'US-2017-131611' 'US-2017-165953' 'CA-2016-123330'
 'US-2017-119298' 'US-2018-125808' 'CA-2018-122770' 'CA-2018-131303'
 'CA-2017-113390']"
['CA-2017-149223' 'CA-2016-127019' 'CA-2017-162236']
"['CA-2015-156433' 'CA-2017-127775' 'CA-2018-103499' 'US-2018-163300'
 'CA-2016-142433']"
"['CA-2018-139619' 'CA-2017-136924' 'CA-2015-108189' 'CA-2016-104129'
 'CA-2017-134936' 'CA-2018-127397' 'CA-2018-157469' 'CA-2017-108056'
 'CA-2017-154998']"
"['CA-2015-156601' 'CA-2016-135391' 'US-2016-131359' 'CA-2018-122364'
 'CA-2017-113845' 'CA-2016-108672' 'CA-2016-140718']"
"['CA-2018-117422' 'CA-2016-115693' 'CA-2018-167640' 'CA-2016-104059'
 'CA-2018-144456' 'CA-2017-147256' 'CA-2016-149517']"
"['US-2018-126081' 'CA-2016-107741' 'CA-2016-121405' 'CA-2018-107517'
 'CA-2017-138968' 'CA-2016-138492' 'US-2015-134054']"
"['CA-2018-106033' 'CA-2018-127460' 'CA-2018-101308' 'CA-2018-155607'
 'CA-2015-152443' 'CA-2018-160801' 'CA-2015-101833']"
"['CA-2017-152170' 'CA-2018-128370' 'CA-2018-121503' 'CA-2018-104640'
 'CA-2018-107832' 'CA-2015-100916' 'CA-2017-168557' 'CA-2018-104318'
 'CA-2015-153808' 'CA-2018-162474']"
['CA-2018-104801' 'CA-2016-165624' 'CA-2016-148859' 'CA-2018-106831']
"['US-2018-124303' 'CA-2016-111829' 'CA-2018-109750' 'CA-2016-162047'
 'CA-2018-121398' 'CA-2015-169684' 'CA-2018-126676' 'CA-2017-104689']"
"['US-2018-164056' 'CA-2015-114643' 'CA-2017-132143' 'CA-2018-127929'
 'US-2017-101196' 'CA-2017-124814' 'CA-2018-143651' 'CA-2017-134516'
 'CA-2015-114790' 'CA-2017-104983']"
"['CA-2015-123260' 'CA-2017-155488' 'CA-2017-103163' 'CA-2018-146535'
 'US-2018-129777' 'CA-2016-130554' 'US-2018-153948' 'CA-2018-121160'
 'CA-2017-114867']"
"['US-2017-135720' 'CA-2017-141082' 'CA-2018-163321' 'CA-2017-145842'
 'CA-2018-134796' 'CA-2016-112711' 'CA-2017-146150' 'CA-2016-136147'
 'CA-2016-124499']"
"['CA-2018-106943' 'CA-2015-132612' 'CA-2018-141992' 'CA-2018-144036'
 'US-2017-142251' 'CA-2016-103093' 'CA-2016-132136' 'CA-2017-112578'
 'US-2016-115343' 'US-2018-107979']"
"['CA-2018-137099' 'US-2017-153129' 'CA-2017-111213' 'CA-2017-125850'
 'CA-2015-138737' 'CA-2015-138128' 'CA-2018-113572' 'US-2016-168704']"
['CA-2016-121552' 'CA-2017-139409' 'CA-2018-118668']
"['CA-2016-155306' 'CA-2017-132731' 'CA-2018-136350' 'US-2018-143175'
 'CA-2017-106915']"
"['CA-2018-107503' 'CA-2018-114636' 'US-2016-110163' 'CA-2018-110842'
 'US-2016-126235' 'CA-2018-152786' 'CA-2016-149993' 'CA-2015-138072'
 'CA-2015-131247' 'CA-2018-134194' 'CA-2015-168368']"
"['CA-2018-160983' 'CA-2017-149314' 'CA-2017-164672' 'CA-2016-131422'
 'CA-2017-128923' 'CA-2015-140228' 'CA-2016-167745' 'CA-2017-159912'
 'CA-2018-129028' 'CA-2016-149566' 'CA-2016-126186']"
"['CA-2016-139850' 'CA-2018-130309' 'US-2018-147984' 'CA-2016-158421'
 'CA-2017-137337']"
['CA-2017-121223' 'CA-2018-150420' 'CA-2018-162880' 'CA-2015-111934']
"['US-2016-136476' 'US-2017-114776' 'CA-2017-129686' 'CA-2015-106439'
 'CA-2017-153353' 'CA-2018-157112' 'CA-2018-118122' 'US-2018-145597'
 'CA-2018-131807']"
"['CA-2015-128986' 'US-2018-131849' 'CA-2017-144540' 'CA-2018-132647'
 'CA-2018-163006' 'US-2016-164966' 'CA-2018-159282' 'CA-2015-114125'
 'CA-2017-118934']"
['CA-2016-144806' 'US-2016-120572' 'CA-2015-144414' 'CA-2018-141138']
['CA-2017-117590' 'CA-2016-131352']
['CA-2018-136539' 'CA-2016-163090']
"['CA-2017-162138' 'US-2017-116729' 'US-2015-165862' 'CA-2015-164469'
 'CA-2017-101546' 'CA-2018-139444' 'CA-2016-161767' 'CA-2016-164567'
 'CA-2016-133396']"
"['CA-2018-135783' 'US-2018-121251' 'CA-2018-146031' 'CA-2015-154893'
 'CA-2017-161025' 'US-2018-168613' 'US-2015-155544']"
"['CA-2017-159695' 'US-2017-161396' 'US-2015-143231' 'CA-2018-122595'
 'CA-2015-138940' 'CA-2018-151981']"
"['CA-2017-119445' 'US-2018-111241' 'CA-2016-167374' 'CA-2016-127173'
 'CA-2015-141901' 'CA-2018-134418' 'US-2018-123834' 'CA-2016-169733'
 'CA-2017-117625' 'CA-2017-137393']"
"['CA-2015-127012' 'US-2017-139710' 'CA-2017-139157' 'CA-2017-106243'
 'CA-2015-103310' 'CA-2018-126144']"
['CA-2018-102750' 'CA-2015-102988' 'CA-2017-100244']
['CA-2015-136742' 'CA-2016-117961']
['CA-2015-103401' 'US-2015-123183']
['US-2018-168116' 'CA-2015-159520' 'CA-2016-144386']
"['CA-2018-101945' 'CA-2018-126956' 'CA-2017-123274' 'CA-2016-124450'
 'US-2017-169040' 'CA-2018-151190' 'CA-2018-161774' 'CA-2015-128209'
 'CA-2017-126795' 'US-2015-135881' 'CA-2017-106460']"
['CA-2018-104745' 'CA-2017-130029' 'CA-2018-130526' 'CA-2016-105725']
"['US-2018-113852' 'CA-2015-124709' 'CA-2018-155075' 'CA-2016-135489'
 'CA-2017-169334' 'CA-2015-168312' 'CA-2017-108105']"
"['CA-2017-129903' 'CA-2015-132500' 'US-2018-123463' 'CA-2018-156769'
 'CA-2016-154795' 'CA-2017-131737' 'CA-2016-123141' 'CA-2018-126928'
 'CA-2015-124723']"
['CA-2015-107153' 'CA-2018-137001' 'US-2018-167318' 'CA-2018-140515']
"['CA-2015-146640' 'CA-2016-105634' 'CA-2018-130141' 'CA-2016-153073'
 'CA-2016-134075' 'CA-2018-123036' 'CA-2017-145611']"
"['CA-2016-110744' 'CA-2016-155334' 'CA-2018-157651' 'CA-2017-154018'
 'US-2017-113649' 'CA-2015-157924' 'CA-2016-136735' 'CA-2018-117044']"
['CA-2016-157343' 'CA-2016-162376' 'CA-2015-119172']
['CA-2017-114944' 'CA-2018-140480' 'CA-2018-143252']
"['CA-2018-129833' 'CA-2017-164784' 'CA-2015-158029' 'CA-2015-153969'
 'CA-2017-117681' 'US-2017-147711' 'CA-2017-104276']"
"['CA-2015-142727' 'CA-2018-141873' 'US-2016-161347' 'CA-2018-122763'
 'CA-2018-150504']"
"['CA-2017-145919' 'US-2015-152723' 'CA-2016-169201' 'CA-2017-109407'
 'US-2018-122714' 'CA-2016-102806' 'US-2018-160143' 'CA-2016-122168'
 'CA-2017-146437' 'CA-2016-156118' 'CA-2015-126480' 'US-2018-122672']"
"['CA-2017-111794' 'CA-2018-146724' 'CA-2018-169978' 'CA-2018-117821'
 'CA-2015-163748' 'US-2017-156692' 'CA-2016-165162']"
['CA-2015-135699' 'CA-2018-131492']
"['CA-2017-165470' 'CA-2016-100216' 'CA-2017-118500' 'CA-2017-166772'
 'CA-2018-132584']"
"['CA-2018-126382' 'CA-2017-130001' 'CA-2017-165484' 'CA-2018-124576'
 'CA-2016-150875' 'CA-2016-109862' 'US-2018-141677' 'CA-2015-144281']"
"['CA-2017-140634' 'US-2015-147627' 'CA-2015-127159' 'CA-2018-134607'
 'CA-2018-166709' 'CA-2017-101987']"
"['CA-2018-125199' 'US-2017-110170' 'CA-2018-129805' 'CA-2016-118871'
 'CA-2018-132738' 'CA-2018-146367' 'CA-2018-127117' 'CA-2015-129189'
 'US-2016-128587' 'CA-2017-100510']"
['CA-2017-106075' 'CA-2016-129917' 'CA-2018-130904' 'CA-2018-151281']
"['US-2016-118983' 'CA-2016-122259' 'CA-2018-111689' 'CA-2015-121664'
 'CA-2015-122217' 'CA-2016-156853' 'CA-2018-161893']"
['CA-2018-106964' 'CA-2016-103954' 'US-2015-143707' 'CA-2018-165904']
"['CA-2015-127131' 'CA-2016-110632' 'CA-2016-135538' 'CA-2016-147011'
 'US-2018-135013' 'CA-2018-166184' 'CA-2016-157287']"
"['CA-2018-105809' 'CA-2017-136133' 'CA-2018-165491' 'CA-2018-140326'
 'CA-2018-121027' 'CA-2017-140130' 'CA-2016-103072']"
"['US-2017-154361' 'CA-2018-168739' 'CA-2018-124765' 'CA-2018-157420'
 'CA-2018-108931']"
['CA-2017-159345' 'CA-2018-158743' 'CA-2015-143168' 'CA-2016-101000']
"['CA-2015-152296' 'CA-2018-143063' 'CA-2017-169971' 'CA-2016-156482'
 'US-2016-114741' 'CA-2017-111318' 'CA-2016-151722']"
['CA-2017-124527' 'CA-2015-102645']
"['CA-2017-161389' 'CA-2016-154956' 'CA-2015-120768' 'CA-2016-100545'
 'CA-2017-140501' 'CA-2016-104346' 'CA-2017-109925']"
"['CA-2018-102414' 'CA-2018-158379' 'CA-2015-151295' 'CA-2018-128335'
 'CA-2017-116526' 'CA-2015-131947' 'CA-2018-152261' 'US-2018-150070']"
"['US-2015-100853' 'CA-2017-165316' 'CA-2016-145821' 'CA-2016-121608'
 'CA-2018-158246' 'US-2016-104185' 'CA-2018-132339' 'CA-2018-117443'
 'CA-2018-142125' 'CA-2017-101189']"
['CA-2016-169397' 'US-2016-167220' 'CA-2015-150203']
"['CA-2018-124674' 'CA-2017-121993' 'US-2018-159562' 'CA-2018-168179'
 'US-2018-157224' 'CA-2017-163937' 'CA-2018-107713']"
"['CA-2017-139269' 'CA-2016-107937' 'CA-2018-110625' 'CA-2017-158302'
 'US-2017-155173']"
['US-2018-129441' 'CA-2015-100328' 'CA-2017-154536' 'CA-2017-102792']
['CA-2018-108560']
"['CA-2018-112039' 'CA-2017-118626' 'CA-2015-159184' 'CA-2018-118360'
 'US-2018-120607' 'CA-2018-121293' 'CA-2018-109393' 'CA-2016-127824'
 'CA-2015-109127']"
"['CA-2016-149734' 'CA-2018-126046' 'US-2015-167738' 'CA-2018-139913'
 'CA-2015-141173']"
"['CA-2018-152485' 'CA-2016-134719' 'US-2016-159513' 'CA-2018-143294'
 'CA-2017-134138']"
"['CA-2017-110366' 'CA-2017-142545' 'CA-2015-122336' 'CA-2017-136329'
 'CA-2017-144218' 'CA-2015-138436' 'CA-2017-157161' 'CA-2016-127481'
 'CA-2015-127866' 'CA-2017-143805' 'CA-2017-168046']"
"['CA-2015-148950' 'CA-2018-156818' 'CA-2015-102085' 'US-2018-152569'
 'CA-2015-110611' 'CA-2018-152198']"
['CA-2015-123344' 'US-2016-125374' 'CA-2018-168123']
"['CA-2017-147067' 'US-2016-147739' 'CA-2018-155880' 'CA-2016-145184'
 'CA-2018-168858' 'US-2016-163279' 'CA-2015-119144' 'CA-2017-116911']"
"['CA-2017-152632' 'CA-2018-132934' 'CA-2016-112116' 'CA-2016-163762'
 'CA-2017-133795' 'US-2017-132577']"
"['CA-2018-166317' 'CA-2016-121720' 'US-2018-136707' 'US-2015-146353'
 'CA-2018-133263' 'CA-2018-119494' 'CA-2017-154081']"
"['CA-2017-112109' 'CA-2016-129770' 'CA-2016-110877' 'CA-2017-105081'
 'CA-2017-106950' 'US-2018-105697' 'CA-2017-169670' 'CA-2015-126200'
 'CA-2018-126914' 'CA-2018-124261']"
"['US-2016-134026' 'US-2015-147606' 'US-2016-101511' 'CA-2015-142048'
 'CA-2018-129462' 'CA-2017-113621' 'CA-2016-139731' 'CA-2018-108070'
 'CA-2017-144729' 'CA-2018-161053' 'US-2018-141852' 'US-2016-168914'
 'US-2017-162026']"
['CA-2017-114489' 'US-2018-146416' 'US-2018-135503']
"['US-2018-123281' 'CA-2015-116407' 'CA-2018-121083' 'US-2017-155103'
 'US-2018-123862' 'US-2018-110646']"
"['US-2018-110604' 'CA-2017-167290' 'CA-2015-114510' 'CA-2018-122077'
 'CA-2017-163594']"
"['CA-2018-144113' 'CA-2016-132486' 'CA-2017-152163' 'CA-2018-169474'
 'CA-2018-136651' 'CA-2018-141103']"
"['CA-2018-164826' 'US-2018-142188' 'CA-2016-105844' 'CA-2016-102855'
 'US-2015-166828']"
"['CA-2016-130736' 'CA-2018-159884' 'CA-2015-117317' 'CA-2017-164483'
 'US-2018-150847' 'US-2015-106334' 'CA-2017-159653' 'US-2018-120649'
 'CA-2016-133445' 'CA-2016-141740']"
"['CA-2017-121034' 'CA-2018-167941' 'US-2015-126571' 'CA-2016-137750'
 'CA-2017-102162' 'US-2016-153374' 'CA-2017-166373' 'CA-2017-105781']"
['US-2015-135972' 'CA-2015-142951' 'CA-2016-123092']
"['CA-2016-157084' 'CA-2018-118885' 'CA-2018-138548' 'CA-2017-124772'
 'CA-2017-108434' 'CA-2015-141796' 'US-2018-116897' 'CA-2017-123176'
 'CA-2015-105872' 'CA-2016-131856' 'CA-2017-102498']"
"['CA-2018-119578' 'CA-2017-116799' 'CA-2017-141957' 'CA-2018-101322'
 'CA-2017-129728' 'CA-2018-103765']"
"['CA-2017-100790' 'CA-2018-167899' 'CA-2015-132801' 'CA-2015-151001'
 'CA-2015-104829' 'CA-2016-120446']"
['CA-2018-121818' 'US-2015-137680' 'US-2018-108014' 'CA-2018-105620']
"['CA-2018-117870' 'CA-2018-132122' 'US-2015-107699' 'CA-2016-133536'
 'CA-2016-169537' 'CA-2016-102778']"
"['CA-2017-130162' 'US-2018-152380' 'US-2018-112613' 'US-2017-115952'
 'CA-2018-152226' 'CA-2016-118843' 'CA-2016-104115']"
"['CA-2018-135860' 'CA-2016-109638' 'CA-2015-169726' 'CA-2017-151372'
 'CA-2017-148908' 'CA-2016-116638']"
['CA-2016-138898' 'US-2017-114293' 'CA-2016-126739' 'CA-2017-161907']
"['CA-2016-127418' 'CA-2017-163986' 'CA-2016-151785' 'CA-2016-120915'
 'CA-2017-137127']"
['CA-2016-115091' 'CA-2016-103205']
['CA-2018-123491' 'CA-2016-116484' 'CA-2017-116918' 'CA-2016-125976']
['US-2015-168501' 'CA-2017-158043' 'CA-2018-122007']
"['CA-2016-142027' 'CA-2016-127453' 'US-2018-103828' 'US-2015-102715'
 'US-2018-155999' 'CA-2018-100601' 'CA-2017-132549']"
"['CA-2018-142622' 'CA-2015-121727' 'CA-2015-135608' 'CA-2015-111773'
 'CA-2016-138331' 'CA-2016-113152' 'CA-2015-166051']"
"['CA-2016-137225' 'CA-2018-168109' 'US-2016-137533' 'CA-2015-147900'
 'CA-2016-157434' 'CA-2016-143980' 'US-2016-150231' 'CA-2016-134082'
 'CA-2015-159849']"
"['CA-2017-105256' 'CA-2016-111199' 'CA-2017-108616' 'CA-2018-128426'
 'CA-2015-150798' 'CA-2016-127607' 'US-2018-153255' 'CA-2018-155936'
 'CA-2015-163468']"
['CA-2018-160885' 'CA-2018-141117' 'CA-2016-107678']
"['US-2017-100566' 'CA-2016-130022' 'CA-2016-134859' 'CA-2017-117849'
 'CA-2017-150945' 'CA-2018-154039' 'CA-2018-140298' 'CA-2017-113425'
 'CA-2015-120670' 'CA-2018-100783']"
"['CA-2015-165428' 'CA-2017-138933' 'US-2018-100482' 'CA-2018-120894'
 'CA-2018-150910' 'CA-2015-138198']"
"['US-2018-156083' 'CA-2018-128734' 'CA-2016-158701' 'US-2015-133949'
 'CA-2017-140977']"
"['US-2015-130379' 'CA-2017-165169' 'CA-2016-137925' 'US-2018-163657'
 'CA-2018-137631']"
"['CA-2017-138520' 'CA-2015-162362' 'CA-2015-103590' 'CA-2018-112473'
 'CA-2018-156776' 'CA-2018-167976']"
"['CA-2018-167913' 'CA-2017-154788' 'CA-2015-110849' 'CA-2015-127299'
 'US-2015-138758' 'US-2016-138121' 'CA-2018-161333' 'CA-2018-105193'
 'US-2018-161935' 'US-2018-167920']"
"['US-2017-150147' 'CA-2016-120880' 'CA-2016-142944' 'CA-2016-112557'
 'US-2016-142811' 'US-2015-164644']"
"['CA-2018-119004' 'CA-2017-167556' 'CA-2018-105921' 'CA-2018-128853'
 'CA-2018-139353' 'CA-2018-151750']"
"['CA-2017-105816' 'CA-2018-149160' 'CA-2015-104178' 'CA-2017-126858'
 'CA-2016-100818']"
"['CA-2015-132962' 'CA-2018-103611' 'CA-2016-138534' 'CA-2017-108735'
 'CA-2016-148712' 'CA-2017-157259' 'US-2018-148866']"
"['CA-2017-155138' 'CA-2018-156720' 'CA-2017-136021' 'CA-2017-166625'
 'CA-2017-167416']"
"['CA-2017-112389' 'CA-2018-115931' 'CA-2015-100363' 'US-2017-108777'
 'CA-2018-151225']"
"['CA-2015-144624' 'US-2016-128090' 'CA-2018-166576' 'US-2018-109582'
 'CA-2016-107685' 'CA-2017-130393' 'CA-2016-158148']"
"['CA-2016-116092' 'CA-2015-157721' 'CA-2016-145485' 'CA-2017-158547'
 'CA-2018-151008' 'CA-2018-158169' 'US-2017-117541' 'US-2016-136427'
 'CA-2018-130834' 'CA-2015-160094']"
"['CA-2017-116344' 'CA-2018-130764' 'CA-2015-152562' 'CA-2018-125913'
 'CA-2015-159121' 'US-2017-100461' 'CA-2015-106054' 'US-2018-168802'
 'CA-2015-167486']"
"['CA-2016-130890' 'US-2017-115819' 'CA-2016-109197' 'CA-2015-112403'
 'CA-2018-118402' 'CA-2015-116673']"
"['CA-2016-119291' 'CA-2016-132101' 'CA-2018-144568' 'CA-2016-126466'
 'US-2018-138086']"
"['CA-2015-107916' 'US-2016-137008' 'CA-2017-161676' 'CA-2017-158001'
 'CA-2018-104906' 'CA-2017-158925' 'CA-2018-156622']"
"['CA-2015-144666' 'CA-2016-145401' 'CA-2018-145310' 'CA-2018-117324'
 'CA-2017-113117' 'CA-2015-130918' 'CA-2017-117604']"
